SSH key found in project metadata; not updating instance.
SSH: Attempting to connect to worker 0...
SSH: Attempting to connect to worker 1...
SSH: Attempting to connect to worker 2...
SSH: Attempting to connect to worker 3...
Hardware: 16 devices across 4 processes. Platform: tpu
AST Zero-Transcendental Audit: PASS
Distributed Mesh Topology: OrderedDict([('data', 2), ('fsdp', 2), ('model', 4)])

==================== Starting Pretraining: StandardTransformerLM (100000 steps) ====================
[StandardTransformerLM] Step  82500/100000 | Loss: 2.9043 | Grad Norm: 0.352 | Throughput: 2,472,919 tok/s | Step time: 13.3ms
[StandardTransformerLM] Step  83000/100000 | Loss: 3.0283 | Grad Norm: 0.348 | Throughput: 2,478,176 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  83500/100000 | Loss: 3.2093 | Grad Norm: 0.357 | Throughput: 2,477,922 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  84000/100000 | Loss: 2.9704 | Grad Norm: 0.352 | Throughput: 2,479,381 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  84500/100000 | Loss: 2.9507 | Grad Norm: 0.352 | Throughput: 2,479,854 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  85000/100000 | Loss: 3.0591 | Grad Norm: 0.350 | Throughput: 2,479,250 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  85500/100000 | Loss: 3.0063 | Grad Norm: 0.352 | Throughput: 2,480,831 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  86000/100000 | Loss: 3.0404 | Grad Norm: 0.352 | Throughput: 2,478,235 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  86500/100000 | Loss: 3.1317 | Grad Norm: 0.358 | Throughput: 2,478,636 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  87000/100000 | Loss: 3.0560 | Grad Norm: 0.360 | Throughput: 2,477,301 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  87500/100000 | Loss: 3.0549 | Grad Norm: 0.362 | Throughput: 2,477,258 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  88000/100000 | Loss: 2.9611 | Grad Norm: 0.349 | Throughput: 2,478,891 tok/s | Step time: 13.2ms
[StandardTransformerLM] Step  88500/100000 | Loss: 2.9552 | Grad Norm: 0.357 | Throughput: 2,469,351 tok/s | Step time: 13.3ms
